Unnamed: 0,play_id,half_seconds_remaining,down,goal_to_go,ydstogo,yardline_100,play_type,posteam_score,defteam_score,run
0,63.0,1796.0,1.0,0,10.0,78.0,run,0.0,0.0,1
6889,85.0,1758.0,2.0,0,7.0,75.0,pass,0.0,0.0,0
9290,115.0,1720.0,1.0,0,10.0,64.0,pass,0.0,0.0,0
9459,135.0,1677.0,2.0,0,21.0,75.0,run,0.0,0.0,1
9655,166.0,1634.0,3.0,0,23.0,77.0,run,0.0,0.0,1
9755,214.0,1587.0,1.0,0,10.0,77.0,run,0.0,0.0,1
9791,243.0,1555.0,2.0,0,7.0,74.0,pass,0.0,0.0,0
10047,266.0,1551.0,3.0,0,7.0,74.0,pass,0.0,0.0,0
10128,327.0,1534.0,1.0,0,10.0,66.0,pass,0.0,0.0,0
10297,359.0,1506.0,2.0,0,5.0,61.0,run,0.0,0.0,1
10418,386.0,1468.0,1.0,0,10.0,48.0,run,0.0,0.0,1
10562,408.0,1435.0,2.0,0,9.0,47.0,pass,0.0,0.0,0
10587,486.0,1385.0,1.0,0,15.0,39.0,pass,0.0,0.0,0
10708,506.0,1342.0,2.0,0,15.0,39.0,run,0.0,0.0,1
10852,528.0,1298.0,3.0,0,3.0,27.0,pass,0.0,0.0,0
10901,553.0,1258.0,1.0,0,10.0,22.0,run,0.0,0.0,1
11157,575.0,1217.0,2.0,0,7.0,19.0,pass,0.0,0.0,0
11301,622.0,1214.0,3.0,0,12.0,24.0,pass,0.0,0.0,0
11541,695.0,1196.0,1.0,0,10.0,75.0,pass,0.0,3.0,0
11662,720.0,1173.0,1.0,0,10.0,64.0,run,0.0,3.0,1
11726,742.0,1154.0,2.0,0,8.0,62.0,pass,0.0,3.0,0
12032,815.0,1093.0,1.0,0,15.0,54.0,run,0.0,3.0,1
12113,910.0,1021.0,1.0,0,10.0,49.0,run,0.0,3.0,1
12185,934.0,981.0,2.0,0,1.0,40.0,run,0.0,3.0,1
12354,995.0,940.0,1.0,0,15.0,43.0,run,0.0,3.0,1
12475,1017.0,911.0,2.0,0,9.0,37.0,pass,0.0,3.0,0
12556,1062.0,900.0,1.0,0,10.0,25.0,pass,0.0,3.0,0
